X,Y,Channel No,Frequency(Hz),Range
49.08,12.91,288,109800,6.8616363890947385
15.39,40.42,235,104500,7.353785796608472
55.04,11.55,21,83100,0.07595048912722557
92.32,5.49,14,82400,5.1519501166026584
1.33,8.25,258,106800,8.287741639874195
35.0,39.39,253,106300,7.692076885628259
18.66,28.74,257,106700,4.506763351852019
24.25,15.02,229,103900,2.712978277791871
47.93,83.03,192,100200,0.3148055789963178
72.97,13.16,157,96700,9.055503596372315
96.98,69.99,173,98300,9.198209741154283
76.36,3.66,183,99300,7.873795167960881
4.03,15.25,208,101800,0.6971134444529126
6.11,46.24,88,89800,6.367410812340016
60.76,82.96,105,91500,6.098354322955359
1.97,22.29,210,102000,6.305677631089614
43.04,69.82,36,84600,3.869098047531905
10.83,41.45,204,101400,7.514553071528035
21.25,11.13,199,100900,3.6044581200536485
98.6,2.0,210,102000,2.0959701981334122
73.48,2.8,151,96100,0.4856896472227923
13.63,22.22,93,90300,5.256802838347793
4.95,70.88,202,101200,7.813194568535015
11.2,1.75,129,93900,6.452078565042882
84.54,0.51,151,96100,5.444122611613794
58.91,16.24,294,110400,2.2140328560316758
45.86,70.07,35,84500,4.437534934917648
29.45,96.71,260,107000,3.0704384688372133
63.9,22.99,216,102600,8.05693367538542
53.84,95.53,81,89100,8.783992740084043
11.06,49.75,103,91300,1.8227291123598244
51.37,95.29,272,108200,2.607282556180942
16.38,45.57,185,99500,8.524409635739717
74.98,73.66,223,103300,9.089142037954172
0.73,55.51,71,88100,1.1285916065975898
10.5,97.8,296,110600,5.338429787195896
36.87,18.0,271,108100,8.145752049082805
46.63,85.22,274,108400,0.6070382193064117
88.65,70.34,199,100900,3.1925474458702654
88.95,34.4,32,84200,8.058203064432153
16.05,85.13,130,94000,6.811747484416334
25.38,98.17,225,103500,9.008026952478382
94.07,65.44,131,94100,2.8476782271241454
63.55,45.62,47,85700,8.542979269996918
82.51,38.26,48,85800,0.2377395697754181
50.89,34.24,44,85400,0.9056158497907696
1.11,50.68,213,102300,0.5422589943714229
57.35,92.85,277,108700,8.49275895024355
9.66,91.43,63,87300,1.1242265157541564
47.49,98.01,194,100400,3.7190544260791136
66.63,31.44,89,89900,7.992049354681303
93.8,12.19,151,96100,3.7645403094770815
41.04,1.63,87,89700,2.973409715654901
86.46,39.79,8,81800,3.654286648717451
82.59,3.29,59,86900,9.293869903768456
75.83,49.14,69,87900,8.924169523933038
12.5,77.22,49,85900,2.6435469631020414
43.75,2.93,247,105700,9.928581010938574
83.92,41.38,101,91100,1.4387518450675518
37.09,37.3,298,110800,1.668728138727198
74.75,43.6,15,82500,7.888971750486727
12.82,30.85,233,104300,5.795783089936796
17.92,65.94,33,84300,8.485224190922025
37.65,8.76,3,81300,1.5094150200663548
44.89,60.26,155,96500,9.11215677459712
57.45,34.13,272,108200,4.673277206078157
16.23,90.73,190,100000,1.788058749923651
1.38,49.32,178,98800,6.255262203977129
40.29,8.51,16,82600,0.3452199638328135
14.33,43.13,180,99000,2.7283852914006124
35.31,85.96,216,102600,4.6250686126637754
17.31,36.13,277,108700,9.300925134810957
73.49,93.75,252,106200,3.081780749387304
80.0,96.51,280,109000,7.6510689771957825
56.56,12.35,295,110500,3.324309027922583
52.27,20.89,4,81400,0.4971663495552714
11.46,31.77,168,97800,7.996094090357742
42.18,41.08,161,97100,7.0214447585675615
62.0,8.01,99,90900,8.566308990415108
46.94,46.38,108,91800,3.4705562153093195
27.98,12.85,270,108000,3.8149047307222617
39.98,43.2,127,93700,8.67476071259034
26.53,34.75,158,96800,9.920717173706876
92.77,9.22,275,108500,2.659289732871449
2.32,63.13,121,93100,9.648476847709244
62.95,37.39,49,85900,9.7731221494704
92.84,15.41,47,85700,3.8740148867577515
11.84,6.83,5,81500,4.044922793761852
43.11,47.16,248,105800,6.940775673129349
23.72,62.29,80,89000,0.9124015546334097
20.01,18.96,284,109400,0.6147161615533792
87.12,31.31,107,91700,4.585212914141129
40.65,80.89,152,96200,9.864786970124364
63.8,59.55,59,86900,6.524397219735649
21.65,74.94,73,88300,7.664738955289049
15.17,98.33,271,108100,6.691142490640006
76.2,49.24,76,88600,8.467480226283294
77.63,35.89,226,103600,3.07845708350144
34.82,23.85,142,95200,9.080394008754558
78.8,23.82,276,108600,5.7415982384038236
41.94,47.25,115,92500,7.1599347948390495
64.33,13.83,94,90400,2.143417189726221
85.57,35.22,138,94800,7.393712553976225
61.74,86.27,173,98300,0.5920594581791039
49.93,89.18,217,102700,2.251666154559021
42.1,21.44,105,91500,6.239848367134368
42.21,49.95,181,99100,1.7245875792138299
52.69,37.77,58,86800,9.30905200929164
33.63,54.51,191,100100,6.144200194062847
85.03,96.45,67,87700,1.5942440017775406
72.27,28.53,9,81900,9.56647969651164
11.0,51.38,118,92800,4.950007102205039
70.61,65.09,89,89900,2.527467223219629
67.0,5.25,272,108200,3.4009234088718774
44.25,11.86,86,89600,1.6331971359936548
91.28,17.99,300,111000,9.108554368351173
79.8,12.48,50,86000,6.4635940236378495
22.47,2.01,40,85000,6.0040638039712775
40.03,26.21,184,99400,8.851530261331035
49.09,30.35,196,100600,4.1581748809153405
71.85,79.73,287,109700,5.596194454618619
58.96,78.37,54,86400,2.5314199519952996
69.13,89.11,71,88100,8.094281314506185
75.15,17.32,131,94100,8.65252564597342
56.25,26.71,142,95200,3.8892708532647733
80.99,79.21,61,87100,5.942920395015914
0.71,97.56,33,84300,8.570500120732206
30.14,16.14,236,104600,4.178638205035174
33.5,33.03,239,104900,7.2783572910948005
10.14,84.65,190,100000,6.201485194166923
54.36,5.56,16,82600,3.9244995268580753
77.52,95.61,289,109900,6.109587854449703
26.0,17.89,228,103800,1.407548263456635
11.16,83.87,119,92900,6.330035296126014
15.7,22.21,62,87200,6.042493372809057
36.59,68.12,266,107600,5.166116908521085
26.13,80.74,296,110600,5.229574960235762
58.74,91.12,24,83400,3.4878136806747353
67.82,87.33,201,101100,5.325458414301188
2.93,53.41,244,105400,1.4720858423773864
65.08,32.18,162,97200,0.6621023367480805
4.81,79.14,137,94700,9.880778643161033
54.58,6.06,129,93900,8.75909649930687
8.74,81.91,195,100500,7.876523474901389
30.81,8.99,92,90200,7.721943888868349
31.1,30.63,148,95800,2.314964384620206
16.71,49.18,122,93200,1.4965306248995491
20.08,50.55,6,81600,4.71542745148559
88.85,92.59,56,86600,6.599896043931123
96.72,33.0,37,84700,8.5083511062239
66.86,50.72,232,104200,9.866640749700785
93.43,69.05,148,95800,3.899364625780881
84.3,74.98,124,93400,2.9924200458416763
15.49,66.75,104,91400,2.895923234846123
94.45,59.52,278,108800,3.7307045450209895
38.83,59.37,69,87900,6.2383111439124
28.6,41.36,258,106800,0.672406502060876
22.94,63.08,234,104400,4.594238720300262
16.52,26.46,290,110000,3.932279966900162
61.79,96.41,250,106000,2.253056637034909
99.62,63.56,219,102900,5.759780644350832
17.46,30.9,112,92200,5.4359685979692065
15.39,33.82,122,93200,6.22002856789809
81.31,2.76,254,106400,3.3728966412077064
8.56,23.36,108,91800,0.4437132439258529
85.75,78.7,52,86200,6.541508210213393
29.39,98.66,16,82600,6.470443358630449
46.22,35.35,258,106800,7.382218808784317
12.07,9.94,147,95700,0.01172892674420778
46.92,81.79,218,102800,7.763907688948053
87.43,6.61,124,93400,3.297214115802305
97.17,26.99,255,106500,9.253985925506052
73.37,60.52,200,101000,5.957007738779362
75.32,70.12,105,91500,5.524997913447321
3.57,57.85,216,102600,3.206226481087505
46.46,70.64,283,109300,6.09600701929827
0.55,38.34,60,87000,9.663700725615495
86.78,37.15,175,98500,1.0547420871034052
72.6,31.96,297,110700,0.3399557091636429
73.01,59.26,230,104000,2.836275136032629
15.87,67.23,151,96100,5.711089656787852
97.9,95.2,204,101400,2.8524734487351155
32.58,3.12,300,111000,7.552284632781825
54.81,19.21,97,90700,3.4865499262713042
34.34,66.68,130,94000,1.1909395788613886
93.33,27.62,154,96400,4.307826383213546
85.42,62.49,65,87500,8.064536844033972
85.91,0.04,286,109600,1.348740613567474
55.27,56.83,16,82600,7.5984098934753135
60.73,13.18,161,97100,9.850805990679664
91.49,29.22,63,87300,7.275788125371453
50.5,8.58,269,107900,0.3665504161738464
95.22,27.29,106,91600,4.835399763058245
78.14,23.04,234,104400,0.7445826794560173
79.24,56.91,150,96000,2.4352764694534255
51.09,0.2,98,90800,8.975220594606498
15.8,89.05,39,84900,2.6562256231021495
63.59,15.81,206,101600,4.691238349496216
35.94,67.03,83,89300,3.832004299953309
13.19,65.13,83,89300,7.265113151489031
25.05,53.63,265,107500,3.489041564147163
21.7,80.89,286,109600,1.7898335522081243
70.43,66.02,185,99500,4.916386688763128
13.77,72.82,143,95300,8.050255882350177
55.65,8.5,138,94800,1.9824259816473466
46.96,5.71,165,97500,3.067800813963334
64.01,27.65,229,103900,0.3410683633149414
5.63,62.05,119,92900,2.520864467319549
48.67,83.04,23,83300,0.8550804594607286
68.63,67.07,282,109200,6.800816124971623
50.45,47.31,151,96100,0.2927972959875824
35.13,89.88,184,99400,1.5592528589037113
96.34,24.14,102,91200,9.6675944678962
46.81,72.05,4,81400,2.14293726280573
91.04,99.92,84,89400,6.684504559855134
