X,Y,Channel No,Frequency(Hz),Range
91.25,32.7,154,96400,0.39119429741434786
66.96,98.16,297,110700,2.2282986461559373
0.18,63.94,284,109400,3.505597690691944
47.98,65.3,54,86400,8.57665548200012
16.31,87.48,129,93900,2.639878885116204
53.9,39.19,84,89400,6.6508679685684005
78.04,98.24,58,86800,2.4076044866514037
30.97,80.53,150,96000,5.48325314079065
42.28,22.0,127,93700,9.876408474823913
58.63,40.57,113,92300,9.005573134390762
51.77,25.62,242,105200,3.388481817043095
63.54,94.14,49,85900,8.648073757048072
26.34,22.95,140,95000,8.583824968060105
70.09,75.37,153,96300,2.2412969419273088
5.17,60.58,140,95000,9.763511934134835
44.09,6.47,151,96100,9.985429007396844
83.31,68.22,27,83700,9.661891189791584
28.45,99.73,2,81200,1.1758575558701445
79.1,62.69,74,88400,2.962925440419424
40.25,56.25,214,102400,4.992498755335077
41.41,1.63,166,97600,3.19400089767099
96.94,80.78,128,93800,3.1871551297263503
55.56,93.07,100,91000,6.314052470495424
66.34,81.56,238,104800,9.056861354353753
35.16,80.71,21,83100,9.891497473585956
89.59,26.57,257,106700,4.197222216568166
93.18,40.98,247,105700,4.407283649785294
9.3,82.86,19,82900,4.619823867603046
70.39,47.79,151,96100,3.2415843450013684
46.18,74.65,38,84800,9.729751910645536
61.58,83.38,296,110600,3.2878479157306275
6.54,57.5,136,94600,9.13726112075938
20.92,99.95,17,82700,7.019778553217004
70.22,20.89,44,85400,2.4720784930951254
46.58,65.27,56,86600,5.0064243796114605
4.3,99.59,190,100000,9.336317908159256
41.7,58.09,134,94400,1.2751210200949892
70.98,95.3,248,105800,9.735466725689392
23.81,13.91,69,87900,1.1651261772573662
50.02,84.61,258,106800,8.135464524965265
8.35,60.62,188,99800,6.1561241399097755
75.81,16.39,191,100100,6.482961225894696
22.75,24.52,60,87000,4.011404694014703
97.11,82.7,32,84200,6.777043557788253
17.62,32.08,32,84200,7.017706209494197
3.38,80.7,122,93200,2.1819365968927054
28.63,80.67,103,91300,0.36094440910250714
25.91,69.9,133,94300,6.21557468740352
8.77,2.08,12,82200,6.134121731927356
14.29,69.26,273,108300,2.638882012430855
94.4,96.93,143,95300,3.171628790129093
9.02,31.4,55,86500,8.611739439498432
90.39,75.02,291,110100,6.040166456166711
79.68,77.51,175,98500,1.186840635615859
59.96,96.96,82,89200,7.94417584958534
