X,Y,Channel No,Frequency(Hz),Range
9.06,36.72,189,99900,0.5053046462756905
37.4,20.64,128,93800,4.016518598412788
14.86,23.01,74,88400,3.80811629435885
62.31,61.6,53,86300,2.679344252552357
24.99,96.72,277,108700,0.6988717210252915
38.42,7.79,10,82000,5.389011529252282
92.21,19.77,84,89400,3.8873421517806417
90.13,18.14,160,97000,2.2045712095814443
3.02,74.71,34,84400,1.998532672740796
43.51,35.83,79,88900,8.517034276630708
26.8,76.8,34,84400,2.2941550320813886
65.06,21.09,234,104400,1.5826865618990649
22.48,41.81,281,109100,1.8522109410948395
5.15,76.51,79,88900,3.8608747880022722
2.17,81.27,108,91800,6.109262605371725
31.4,49.16,142,95200,8.845758307462358
79.61,10.6,285,109500,2.2558143994429667
91.61,96.71,158,96800,6.381296867348684
37.41,71.85,130,94000,8.893730708774076
29.47,59.67,30,84000,7.238396163093938
31.87,92.63,253,106300,7.781764587278967
86.56,91.3,212,102200,8.44429228649608
16.38,25.21,110,92000,3.733347489833486
63.86,57.88,201,101100,5.324811564164625
5.31,36.07,35,84500,2.7683022676123823
83.05,37.45,175,98500,6.1942449895646075
19.33,44.79,290,110000,9.591866461976462
83.29,13.0,51,86100,5.255600669223356
49.61,43.69,240,105000,4.1713381800940175
12.75,77.17,249,105900,6.6126028793504235
53.94,64.44,12,82200,4.55009323196316
25.83,40.17,224,103400,1.806860758020571
50.73,96.72,184,99400,2.6841361721442802
76.69,59.66,107,91700,8.348305439957151
8.2,5.04,176,98600,0.7675437855690903
7.82,92.32,203,101300,2.0796396657263405
35.82,34.89,202,101200,3.6461295311856077
68.24,0.1,25,83500,0.5878461478228436
72.26,46.83,191,100100,5.075678033293057
60.06,31.33,233,104300,3.335610340279537
30.17,68.09,185,99500,0.9906873148896156
4.66,36.58,7,81700,0.7269965924945232
1.71,5.46,261,107100,5.996461632665034
39.81,72.35,91,90100,4.345253028312603
51.0,19.98,29,83900,2.022662504866579
7.94,91.74,170,98000,3.412855113798167
19.36,24.58,185,99500,2.677291820388583
72.07,20.69,117,92700,3.83771345478083
47.86,29.0,181,99100,8.170071617739783
1.1,70.8,13,82300,0.6440253389002792
77.83,22.82,78,88800,3.7430771172670307
98.67,45.18,73,88300,8.166905884783288
24.32,57.17,163,97300,7.020267949432952
11.04,52.65,67,87700,5.048371820577779
30.41,58.26,18,82800,4.388528928951755
38.75,57.32,140,95000,9.146309678331132
0.84,82.03,171,98100,3.9294895266612997
93.69,55.52,198,100800,6.201937907561604
82.1,97.93,79,88900,8.168493186074123
89.04,90.22,64,87400,2.155306507086613
3.5,72.12,134,94400,7.2856748320221065
22.81,84.05,181,99100,2.9092517246190255
18.42,5.64,158,96800,5.8914083901998735
17.51,96.65,252,106200,4.082791950959143
88.4,71.43,273,108300,0.10795905886725743
8.15,89.25,35,84500,2.734391790252484
34.1,85.63,243,105300,7.780750473435967
28.88,10.11,68,87800,0.44918597416892414
36.43,43.14,65,87500,2.0822749460535803
34.24,98.05,273,108300,3.7538158760791838
8.94,45.28,136,94600,6.641581062800772
5.64,38.24,284,109400,1.1358620929970586
78.28,48.15,130,94000,0.3610024260543454
35.59,94.12,182,99200,2.496105612484313
3.11,64.49,85,89500,9.154091318541912
52.79,82.69,284,109400,4.551396562505603
34.35,58.65,41,85100,4.49562236237159
49.58,56.46,297,110700,6.340415416700972
69.11,84.86,5,81500,9.613289149386585
0.22,4.46,59,86900,0.7769401546442578
79.41,32.23,249,105900,0.7248492860961164
12.77,87.63,11,82100,8.264553655315728
2.82,56.32,37,84700,5.443754275430134
40.83,79.0,86,89600,5.258396289262018
66.72,96.92,41,85100,3.506730918623824
91.85,88.02,248,105800,6.765271321701759
80.63,4.34,145,95500,6.6406380114796875
8.31,10.19,64,87400,5.950987814526637
71.38,22.42,143,95300,7.661718967778059
65.23,57.97,42,85200,4.017465366207063
55.24,5.4,233,104300,1.9228649342355464
22.71,97.21,191,100100,8.472178129590901
