X,Y,Channel No,Frequency(Hz),Range
77.67,57.05,101,91100,9.064247287009238
52.99,32.66,124,93400,4.729373334628394
97.53,83.6,71,88100,3.878405331378233
85.39,79.05,61,87100,4.1921746722259465
14.29,36.18,178,98800,2.7955436170125836
76.76,62.91,77,88700,9.586586970829787
57.59,60.37,252,106200,7.9598632940015825
4.76,51.68,50,86000,5.671583137017034
32.17,31.19,2,81200,5.5962096453750645
16.53,51.3,263,107300,6.657032153134731
70.04,4.37,64,87400,4.109468991103011
80.86,50.14,163,97300,2.7193418483152296
66.12,58.17,266,107600,8.486247620494984
30.6,19.84,135,94500,3.032334426830098
48.35,61.07,163,97300,6.228591451970233
15.22,98.33,262,107200,7.6280174139553045
65.82,6.28,30,84000,8.402820612363255
18.24,49.92,171,98100,1.972088604613036
40.01,12.73,282,109200,3.8830447378439725
6.45,70.08,44,85400,1.306459336511635
12.79,3.85,255,106500,6.143385034684491
68.83,78.39,282,109200,8.226229123539653
42.71,40.6,196,100600,8.296342164982415
71.99,22.29,240,105000,2.1779975237462947
46.0,3.18,17,82700,1.93441288628449
5.51,96.03,261,107100,5.5530739579132185
52.7,87.01,187,99700,9.811465830781618
16.24,65.05,62,87200,8.672168759401389
49.54,2.98,94,90400,7.759307169639453
33.32,73.69,78,88800,7.49291684616439
11.44,49.27,278,108800,1.3893287876013771
67.36,6.4,252,106200,9.499733559181147
80.98,52.79,269,107900,2.1513865934261722
26.51,66.48,16,82600,7.544934251599928
41.53,61.84,100,91000,1.9406197182354579
29.94,34.83,173,98300,9.894879208665792
43.83,8.39,287,109700,7.542574480259592
14.69,71.5,195,100500,0.29556356012854335
87.86,48.53,12,82200,5.328739130554329
25.97,27.27,250,106000,1.3151521018361767
32.68,32.39,92,90200,2.4556915987987846
52.82,39.34,22,83200,0.7594000559103864
5.07,51.28,136,94600,5.735049985808617
21.16,95.53,267,107700,6.708796395810067
4.55,59.1,68,87800,0.8380280405245388
84.51,64.93,163,97300,5.219050420180787
57.41,67.2,169,97900,7.7436808619233055
58.99,9.09,26,83600,3.3908212052257114
54.86,67.95,184,99400,8.656122334155222
33.65,7.97,86,89600,3.1882716574086567
21.79,50.52,241,105100,9.981636974894402
49.85,57.06,239,104900,0.8132585381666835
1.66,34.38,27,83700,3.506450693297819
84.04,18.44,274,108400,6.773114231291145
10.26,61.07,164,97400,4.440988273703184
87.3,37.28,128,93800,1.071711904836412
6.61,52.55,57,86700,6.443990756810855
31.7,67.47,66,87600,0.6686808141724243
52.82,65.99,245,105500,9.713420347452958
88.93,85.4,239,104900,5.859440547104303
86.14,48.9,219,102900,6.490389542820784
19.75,9.12,55,86500,3.30449698649276
6.63,26.14,177,98700,5.283450951546591
83.98,81.86,110,92000,4.7618604483039935
91.39,30.71,290,110000,7.355735639464434
90.64,23.27,131,94100,7.239392650787001
82.56,24.12,294,110400,5.755125718126145
95.0,99.64,23,83300,6.278488420649727
60.42,38.85,147,95700,2.79269450695017
15.32,15.2,158,96800,4.807165908901333
5.16,15.28,218,102800,8.428028946081898
85.83,80.64,78,88800,4.765991005897689
71.26,98.79,180,99000,1.6990349221347045
84.33,72.06,209,101900,3.227211597697414
47.13,8.53,94,90400,4.991956766953588
73.19,53.74,277,108700,3.6151468230643014
49.14,89.1,176,98600,6.594343031641845
70.41,1.83,238,104800,1.9196691876882421
4.06,8.49,70,88000,8.275614313071786
24.05,32.11,279,108900,7.406163576113988
6.69,71.43,253,106300,9.418979102895381
97.53,4.95,234,104400,3.6025501013159245
0.8,75.73,135,94500,7.963219051577375
86.2,53.11,220,103000,3.530942275122783
20.32,51.36,219,102900,6.7381054612170335
75.99,54.18,70,88000,9.898685333467261
45.18,86.6,252,106200,4.9839042913507985
24.1,48.15,153,96300,6.827508560178575
71.62,63.94,282,109200,2.3808726220408136
88.39,82.95,28,83800,1.6432269151622703
70.25,99.41,96,90600,2.8823326853674303
57.45,55.92,63,87300,9.140985161153571
6.93,3.38,105,91500,9.304621390430972
36.35,7.72,165,97500,3.857834099585724
31.03,58.53,116,92600,5.89494695438489
24.64,16.46,175,98500,9.407110708601218
93.99,40.77,273,108300,4.046223079010112
82.49,34.64,25,83500,5.445553772939772
46.73,93.13,285,109500,7.684800472884036
18.37,9.21,273,108300,8.848452008012801
78.83,99.13,264,107400,6.507442758478987
47.75,25.87,3,81300,4.0608066712626325
