X,Y,Channel No,Frequency(Hz),Range
82.34,79.53,280,109000,4.21674499854792
70.49,58.72,13,82300,4.518535917203357
80.05,1.92,110,92000,4.319242558396636
7.12,80.25,164,97400,5.945996830206543
95.27,64.2,288,109800,6.238185758964364
53.08,74.19,174,98400,5.3791826642021014
91.22,59.22,228,103800,5.163551887827657
5.98,61.03,137,94700,0.9010625568130792
35.74,52.29,140,95000,3.4780934345499013
14.84,78.16,178,98800,4.830093972687526
78.89,51.6,28,83800,7.168898763423625
98.14,11.29,213,102300,2.4680684163149316
44.08,20.9,23,83300,1.865047654880968
17.6,81.45,46,85600,0.3171084678826064
75.85,19.29,93,90300,7.598721664300668
6.45,67.69,16,82600,3.2534456415923865
81.17,57.25,242,105200,1.8272475769815977
21.52,88.99,258,106800,3.01644016267153
72.99,64.71,179,98900,1.006752310418756
87.12,64.81,267,107700,7.681208669867562
74.99,77.66,20,83000,1.9279487007039942
25.03,23.18,136,94600,3.151379918206022
74.75,62.8,64,87400,0.120804597592169
20.06,27.58,195,100500,4.160245271376236
18.65,16.62,88,89800,6.573480989337714
53.3,49.51,257,106700,8.735595649769177
26.61,94.56,242,105200,8.614234280750907
46.27,22.3,118,92800,7.903704646294941
67.19,48.85,214,102400,1.5514778211142288
98.55,73.47,58,86800,1.8253698337010016
74.24,79.55,114,92400,5.191650135763012
68.29,48.04,56,86600,6.222069890529412
5.36,32.16,191,100100,1.9479570661615786
40.97,3.04,24,83400,4.41974803005394
39.19,7.44,75,88500,9.36271369035992
54.85,74.92,287,109700,2.5744055867210824
83.68,84.16,259,106900,0.5954204141509356
3.5,95.68,32,84200,9.516719648504711
20.89,94.2,52,86200,8.037633217174339
15.51,60.96,16,82600,0.4376528943383584
44.99,30.47,37,84700,1.6201417407736496
19.21,34.18,151,96100,1.515188359054449
59.66,13.2,216,102600,8.650227499743448
36.61,4.13,26,83600,3.1417396018104062
88.88,87.56,282,109200,2.8853419665798876
14.65,0.42,69,87900,4.146627050189529
20.5,76.68,208,101800,8.899190567353534
94.2,11.31,77,88700,1.218661792823721
46.11,67.99,148,95800,3.1679519751264107
37.76,41.08,285,109500,3.4269643274839123
82.52,67.98,38,84800,5.395464717499278
85.23,90.7,34,84400,4.526583326623468
60.39,20.9,90,90000,4.760191422304903
83.82,44.65,57,86700,7.738375395918833
43.65,49.85,77,88700,3.513389793703582
42.97,99.31,210,102000,2.435393261756005
99.78,45.81,88,89800,9.853200793122813
98.01,73.7,192,100200,7.082303572668928
75.49,99.3,169,97900,8.565560189919983
27.5,2.36,177,98700,1.698047147180748
44.88,42.37,253,106300,9.538480240909092
57.97,21.66,187,99700,8.789170012888864
87.98,44.41,30,84000,4.056092924149459
7.56,25.97,68,87800,8.282413943485228
26.25,84.25,101,91100,7.553905169417997
65.05,88.15,12,82200,7.526876199068814
88.8,3.34,210,102000,6.2142680115044415
74.53,9.93,238,104800,6.401236997558948
8.1,29.72,94,90400,7.004606382698454
97.6,92.14,262,107200,3.3193414598717172
47.04,51.14,131,94100,5.270276669114496
54.68,92.24,84,89400,5.253209430645755
40.78,7.17,259,106900,7.205013288210504
4.97,66.96,133,94300,2.467956528821192
96.16,64.55,8,81800,3.0070705214121265
10.75,81.89,120,93000,1.576056594817733
29.06,38.16,258,106800,9.516879380851423
45.59,6.3,193,100300,2.762980632299051
35.8,20.36,54,86400,3.0070738096351746
48.7,1.67,121,93100,4.012905095143316
88.67,86.07,79,88900,5.599120538780741
97.71,55.46,31,84100,6.1785451835837115
17.32,47.52,227,103700,4.709790362033108
70.87,7.59,162,97200,3.506112675203278
88.31,43.16,90,90000,8.838815215506367
96.41,66.88,212,102200,9.36406630924221
22.82,58.63,287,109700,4.906094340222808
41.34,16.55,76,88600,2.4581206739447414
99.34,93.96,8,81800,9.898730836788744
75.17,64.08,163,97300,4.676518447647624
72.32,11.01,143,95300,0.6172652154841618
54.71,98.89,202,101200,4.236783895176915
0.46,17.89,299,110900,0.29525618181517554
15.75,83.31,74,88400,2.242148311094793
19.04,72.79,17,82700,5.441594271053443
24.14,17.54,300,111000,3.753021007478706
9.66,18.97,195,100500,3.7116304774206
34.76,86.76,29,83900,6.592861915773762
17.34,94.45,97,90700,7.3986477023149035
29.86,20.31,8,81800,9.301519611499723
40.68,95.51,184,99400,3.3548869254865155
60.48,66.83,91,90100,9.791649026981768
73.24,11.19,233,104300,0.06104915347251216
93.9,16.95,173,98300,5.630625512720289
6.29,87.75,61,87100,5.080931928959464
78.4,85.28,217,102700,6.643054556162738
12.21,26.48,131,94100,0.3358953481466098
72.35,97.78,269,107900,8.29542614918332
15.51,66.18,80,89000,0.24070131630626435
49.08,16.61,209,101900,6.578845810148878
24.06,52.23,57,86700,5.6426994138316955
80.95,75.33,263,107300,9.748439904354719
37.29,48.63,292,110200,9.241356486504044
26.78,89.69,296,110600,1.115664736864117
69.58,5.93,156,96600,0.43201004778957164
95.1,55.8,262,107200,8.33520684604349
27.66,58.84,5,81500,6.66998663929291
32.39,46.88,8,81800,5.400596329804209
58.8,90.16,75,88500,6.998626124266462
90.36,71.8,286,109600,2.387469095308621
42.79,64.53,294,110400,1.493312076823422
59.15,64.69,270,108000,7.292221291298312
35.66,4.94,198,100800,8.365592156079053
14.33,33.21,133,94300,2.9445178785094708
85.1,57.79,228,103800,1.3253880441199117
14.79,5.15,148,95800,7.668869452171466
28.71,68.13,69,87900,1.6499222837749805
6.03,77.68,137,94700,0.2836799309447424
54.82,65.68,184,99400,8.046332675379482
28.39,92.08,111,92100,1.21241960657405
52.72,44.46,58,86800,8.768269901574428
3.8,27.39,137,94700,1.4037996754204174
4.13,4.0,251,106100,3.1586131014460572
75.76,31.34,251,106100,7.785144409779063
71.02,8.51,223,103300,7.600522336026207
7.62,83.82,141,95100,7.880970080505271
16.27,12.03,200,101000,5.1834400223483446
1.54,19.2,91,90100,0.698729163036409
53.11,91.93,31,84100,0.8015676877396238
87.02,17.05,123,93300,6.103650767339246
56.74,31.19,114,92400,8.128341269430967
41.83,8.02,189,99900,9.668741055262021
87.59,90.51,9,81900,1.336248515252697
50.46,31.32,284,109400,4.7947089833849095
69.04,15.5,183,99300,9.5979913419573
75.67,23.36,300,111000,3.0544621361992386
34.96,31.24,150,96000,3.509774499290087
17.29,13.46,4,81400,7.94080141942378
12.01,86.7,245,105500,9.473900428756771
58.93,51.61,50,86000,6.103142096055619
30.16,25.0,35,84500,5.775643377672708
58.26,95.82,212,102200,4.7749130597774645
61.25,71.96,154,96400,5.254573528451179
19.21,42.35,113,92300,9.349365838712497
69.59,55.0,263,107300,6.92537664887666
95.63,90.31,62,87200,2.2957551619840952
21.68,87.09,173,98300,8.126270744578942
15.11,94.57,296,110600,4.064372713960975
42.33,76.65,4,81400,0.39914360802425053
78.8,75.31,267,107700,9.958116985457815
23.67,52.99,61,87100,4.625510557742717
88.59,20.88,129,93900,9.706803605407304
90.44,29.02,277,108700,2.4036170503670706
76.64,41.93,289,109900,0.6311557902834264
99.89,58.53,274,108400,2.3579824095698654
63.68,8.73,223,103300,1.6954963052931782
8.03,83.34,276,108600,8.283163192056938
52.4,31.41,58,86800,6.6970022716675315
65.24,7.36,171,98100,4.654539447160243
70.33,23.12,148,95800,6.506583099273123
13.76,79.09,266,107600,8.162741156076061
12.23,20.17,237,104700,5.249944743961859
47.02,11.95,41,85100,8.273465663832965
96.69,19.47,130,94000,5.091293310214037
56.81,22.76,128,93800,7.2656448443604145
43.41,34.24,168,97800,1.7568505378014454
37.74,22.36,15,82500,0.2992256201665755
98.48,61.23,222,103200,4.917498504055047
40.82,50.02,165,97500,8.50649509696617
83.22,99.7,88,89800,7.252372323598837
67.69,2.97,195,100500,5.241418379252288
18.88,61.04,293,110300,5.557180749372974
75.65,76.37,146,95600,4.969645025660392
84.48,60.73,133,94300,0.16787653388156243
19.63,94.82,214,102400,1.003674563084368
97.5,89.84,99,90900,2.67364520879656
91.87,86.94,57,86700,7.7054377277920905
68.85,21.9,90,90000,0.23092236488149065
32.88,26.56,128,93800,2.87075250978178
71.95,22.83,174,98400,0.5064386168943036
77.45,40.58,133,94300,9.911512705559758
83.77,96.49,85,89500,8.522510759207206
68.97,61.92,217,102700,7.9531020625341196
0.47,16.65,81,89100,3.5085738225447685
21.71,88.86,56,86600,2.0136274223448503
4.21,67.19,72,88200,4.742214945481917
36.24,96.49,177,98700,8.631681938524352
59.24,36.7,82,89200,3.659805888734992
76.13,35.18,224,103400,3.4202256402338813
45.08,91.18,273,108300,0.006688745824550146
95.55,41.8,211,102100,2.4618310119851694
92.73,78.97,250,106000,1.161340857944797
66.82,84.52,249,105900,5.797247779460337
75.51,5.9,231,104100,1.0949497998484514
94.48,59.55,102,91200,7.7235144387152666
20.81,55.28,299,110900,2.7115031312370173
18.43,59.09,188,99800,9.59444663073755
50.79,17.41,138,94800,9.954212904396712
2.13,33.86,117,92700,8.346270445109155
30.9,36.31,168,97800,3.368523145457738
74.25,80.46,84,89400,0.2517352456167776
3.25,77.73,224,103400,0.49295166425277315
41.95,94.51,203,101300,9.290711844081867
8.92,71.34,17,82700,5.125753335089359
22.3,43.31,173,98300,3.0238616687875197
57.77,83.13,223,103300,3.213247204867219
44.77,28.91,147,95700,3.634443368725977
87.31,29.0,114,92400,7.75625652067851
62.09,31.43,282,109200,5.683968716966385
63.31,49.6,264,107400,7.072380152792121
69.31,45.89,47,85700,5.588775259735533
13.88,28.1,263,107300,5.227854308739212
71.95,51.18,268,107800,6.501363106230368
56.13,47.56,65,87500,7.114008577841241
62.43,79.02,49,85900,9.463625684048417
69.79,52.73,138,94800,4.046360556575804
61.56,82.95,186,99600,0.8360861382825246
95.93,2.11,166,97600,5.872168143403263
56.42,42.46,56,86600,3.2015266361310344
90.3,70.65,229,103900,8.25387135074103
19.54,75.88,144,95400,3.4526396805538195
40.88,90.65,97,90700,6.326717916780659
25.56,77.19,55,86500,6.5176567340452145
66.84,99.27,210,102000,9.490613682926579
90.81,36.29,152,96200,5.22748957727793
52.51,94.48,293,110300,4.276750455023598
49.25,50.5,287,109700,7.911341972627268
33.72,88.28,133,94300,9.523010017088135
43.51,85.25,244,105400,2.309736160122214
46.5,85.97,143,95300,8.398870916152822
53.92,96.71,208,101800,1.8554865223435835
68.26,13.05,41,85100,6.947239198168539
10.27,85.57,37,84700,2.9915999919792204
30.41,57.99,153,96300,6.970143293183212
31.06,11.85,210,102000,7.323900693156176
57.64,97.95,195,100500,9.396732413103239
13.52,63.77,74,88400,2.55514615512781
94.34,27.23,279,108900,1.2608928922277751
53.56,40.39,75,88500,1.4825196199502777
11.1,13.84,68,87800,7.513667186495377
9.73,77.21,216,102600,9.183927565455816
45.55,68.01,167,97700,6.9404404919941705
37.66,16.73,132,94200,7.849015028701533
20.96,18.65,38,84800,7.188678092531343
12.13,1.94,270,108000,4.662998846281842
3.01,58.27,76,88600,6.4892413234367154
22.84,49.47,169,97900,6.516319985648361
1.01,35.43,79,88900,2.1296309827730218
77.0,41.6,222,103200,2.038016366896872
92.96,44.42,192,100200,7.573786508280226
66.76,61.28,122,93200,5.139102086449281
55.76,86.84,279,108900,9.689454856056496
62.95,82.78,31,84100,8.663903102731222
11.52,56.52,31,84100,4.61601615916709
77.7,22.3,192,100200,3.2982384299823195
59.03,30.31,11,82100,9.064666252839716
98.23,47.11,38,84800,7.145828095747256
45.18,30.67,300,111000,3.376889886133252
31.58,39.91,158,96800,9.586856703363974
45.52,62.94,119,92900,2.470358371217505
15.63,15.73,96,90600,8.560010709800272
65.46,20.03,99,90900,1.2741406653316623
46.0,92.85,144,95400,0.30252598011319853
43.71,90.38,176,98600,6.704069171099823
39.89,26.25,174,98400,2.0391270206574785
38.55,1.27,52,86200,9.367138861273114
8.47,22.44,102,91200,0.9836951401278504
3.73,78.74,266,107600,4.6300859804498975
37.32,67.75,52,86200,2.3168635936536885
15.98,8.01,244,105400,5.467177251429469
81.04,18.94,130,94000,7.1944939068809095
98.66,33.69,6,81600,3.547379900329002
62.34,24.21,156,96600,2.148427219174077
97.45,47.86,169,97900,1.6693817059102034
28.79,65.89,29,83900,8.940523913400995
2.82,75.92,48,85800,0.14850682297887108
60.87,41.66,46,85600,9.658583708742107
81.67,84.87,281,109100,3.7528397808373204
44.19,30.23,203,101300,3.8892856830121647
75.48,7.13,158,96800,9.83345403958258
15.11,19.58,273,108300,1.6160681787330888
46.36,93.75,40,85000,4.358435793167312
64.84,11.21,293,110300,8.172403300798432
3.59,85.53,208,101800,1.5115477513318598
39.66,51.81,241,105100,2.392971592713511
23.36,17.79,55,86500,6.629263307276876
6.67,85.96,29,83900,9.9628206652357
82.06,55.23,59,86900,7.7061816141079955
63.72,67.41,93,90300,4.9399757670638
59.85,86.95,194,100400,0.08638537405689206
59.98,14.57,293,110300,0.2486631693039032
34.95,98.48,89,89900,3.7712632031657467
59.01,46.94,57,86700,4.493073819273825
81.78,77.77,261,107100,5.913095942945602
20.5,92.55,158,96800,7.26647260857488
6.31,4.92,238,104800,9.334919923937656
98.3,14.43,224,103400,7.924677389280203
0.43,21.83,272,108200,4.533732716622615
52.87,63.65,32,84200,5.910035967650392
74.04,77.11,23,83300,9.705144858392849
54.31,30.42,159,96900,1.661782894988324
28.15,94.27,172,98200,4.398475514890199
8.57,30.84,139,94900,1.0970486915379951
65.26,16.3,292,110200,4.903699452534058
73.67,36.67,117,92700,8.916127222180275
94.33,39.16,206,101600,7.223464015851584
45.86,28.44,156,96600,4.554368631206485
76.84,57.71,112,92200,9.238740061864574
85.75,27.63,208,101800,2.606032885245213
77.59,13.25,134,94400,1.5859495311288718
23.79,43.16,218,102800,7.773625380448031
29.52,49.44,129,93900,4.883266395448674
31.18,49.27,175,98500,3.796911013582781
95.15,54.76,164,97400,3.737093010332594
67.53,97.05,120,93000,9.992476675276677
9.07,94.06,189,99900,8.795635959183965
19.67,50.65,38,84800,6.747149770518895
15.52,8.88,36,84600,1.770408042141024
27.5,30.2,107,91700,8.972809121312194
73.21,97.19,13,82300,3.5000268963251258
52.14,38.5,211,102100,0.7183864117274619
85.39,66.61,125,93500,6.871743937784193
79.32,46.1,78,88800,4.075701256779275
27.52,92.03,160,97000,8.738875420179607
66.61,10.29,225,103500,5.593924810043256
86.86,98.6,178,98800,3.277083821411413
36.96,7.55,114,92400,5.673982881338725
99.18,34.06,200,101000,2.815949621168227
92.94,66.19,6,81600,3.0463261519
65.89,90.52,81,89100,6.777338181038263
76.38,95.98,205,101500,2.296734789889957
61.75,85.15,233,104300,9.567866540489474
25.94,25.25,32,84200,7.504967008306039
98.15,11.82,19,82900,0.13468922712990494
91.91,72.1,215,102500,7.066099003414921
89.72,31.0,59,86900,9.333496899109981
51.74,96.28,273,108300,1.4966231200456548
83.13,74.27,148,95800,2.612945417039011
32.5,0.82,35,84500,7.965272542853386
46.23,1.25,59,86900,0.034846654886611095
87.16,78.67,81,89100,8.066902886968856
82.61,62.09,288,109800,9.974747521495162
90.41,28.16,44,85400,2.2675836424848184
32.57,86.3,161,97100,7.539638601902542
16.84,93.74,103,91300,8.937623204922607
44.5,40.29,99,90900,0.7613616087863151
39.21,23.28,295,110500,4.060059452335438
52.83,70.02,265,107500,2.844965409510033
37.86,71.85,167,97700,0.8149813712574361
78.02,72.77,251,106100,4.446184358938902
43.73,23.32,234,104400,5.210912874611424
72.39,22.46,48,85800,7.303018766851821
46.72,45.71,229,103900,3.83564533108798
71.33,6.89,132,94200,7.140978005544594
88.99,44.05,171,98100,4.358888166908114
73.67,21.71,11,82100,6.104047901138535
28.28,25.33,159,96900,5.522650279793114
67.5,6.23,158,96800,0.9342395293990402
0.4,44.16,135,94500,5.543425524144529
37.61,99.08,44,85400,4.538332339171369
31.65,54.9,34,84400,0.8202528706340184
39.94,37.93,39,84900,3.654002969705501
52.65,56.15,207,101700,7.948115395371332
4.48,26.73,36,84600,1.1781019091301792
42.53,77.12,145,95500,3.786663344497252
33.24,46.59,235,104500,6.872762954324817
89.37,21.63,33,84300,0.8959328742848127
92.58,91.79,81,89100,7.051976450534797
87.01,55.26,250,106000,9.345837837624162
60.49,71.06,196,100600,1.3100968468178975
